"Url","Sold","Auction Date","Title","Distillery","Region","Strength","Distillery Status","Cask Type","Currency","Bulk Litres","Rla","Filling Date","Cask Filling","Previous Spirit","Regauged Date","Age","Bottles At Cask Strength","Buyer Price","Price Per Bottle At Cask Strength","Price Per Litre Of Alcohol","Country","Auction House"
"https://whiskyauctioneer.com/lot/5018486/1-bunnahabhain-2010-sherry-hogshead-901209-cask-storage-whiskybroker",FALSE,"09/08/2021","Bunnahabhain 2010 Sherry Hogshead","Bunnahabhain","Islay","67.3","Operational","Hogshead","Great Britain Pound (£)","229","154.12","11/11/2010",NA,"Sherry","08/07/2020","10.74","327.14","18000","48.91","116.79","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5019649/1-port-dundas-2009-bourbon-hogshead-728279-cask-storage-whiskybroker",TRUE,"09/08/2021","Port Dundas 2009 Bourbon Hogshead","Port Dundas","Lowlands","63.8","Closed","Hogshead","Great Britain Pound (£)","212.5","135.57","01/01/2009",NA,"Bourbon","19/04/2021","12.6","303.57","3375","9.88","24.89","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5019650/1-caol-ila-2007-1st-fill-palo-cortado-hogshead-18-cask-storage",FALSE,"09/08/2021","Caol Ila 2007 1st Fill Palo Cortado Hogshead","Caol Ila","Islay","60.2","Operational","Hogshead","Great Britain Pound (£)","159.6","96.08","23/08/2007","First Fill","Sherry",NA,"13.96","228","18563.62","72.37","193.21","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5006041/1-port-dundas-2009-bourbon-hogshead-728273-cask-storage-whiskybroker",TRUE,"07/06/2021","Port Dundas 2009 Bourbon Hogshead","Port Dundas","Lowlands","63.9","Closed","Hogshead","Great Britain Pound (£)","219.15","140.04","01/01/2009",NA,"Bourbon","19/04/2021","12.43","313.07","3825","10.86","27.31","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5001404/1-dalmunach-2016-barrel-973-cask-storage-whiskybroker",TRUE,"10/05/2021","Dalmunach 2016 Barrel","Dalmunach","Speyside","67.2","Operational","Barrel","Great Britain Pound (£)","109.55","73.62","11/10/2016",NA,NA,"06/04/2021","4.58","156.5","3826.12","21.73","51.97","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5001655/1-bruichladdich-2011-wine-hogshead-3093-cask-storage-bruichladdich",TRUE,"10/05/2021","Bruichladdich 201Wine Hogshead","Bruichladdich","Islay","63.6","Operational","Hogshead","Great Britain Pound (£)","208","132.29","14/09/2011",NA,"Wine","01/03/2021","9.65","297.14","17550","52.5","132.66","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/338550/1-tomatin-1983-hogshead-7756-cask-storage-whiskybroker",TRUE,"05/04/2021","Tomatin 1983 Hogshead","Tomatin","Highlands","54.3","Operational","Hogshead","Great Britain Pound (£)","115.58","62.76","01/01/1986",NA,NA,"13/01/2021","35.26","165.11","58500","314.94","932.12","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/340214/1-blended-malt-2001-sherry-butt-cask-storage-whiskybroker",TRUE,"05/04/2021","Blended Malt 200Sherry Butt",NA,"Scotland","45.5","Operational","Butt","Great Britain Pound (£)","453.85","206.5","30/08/2001",NA,"Sherry","01/03/2021","19.6","648.36","12937.5","17.74","62.65","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/341417/1-arran-1996-1st-fill-sherry-hogshead-94-cask-storage-lochranza",TRUE,"05/04/2021","Arran 1996 1st Fill Sherry Hogshead","Arran (Lochranza)","Islands","51.3","Operational","Hogshead","Great Britain Pound (£)","210.7","108.09","14/02/1996","First Fill","Sherry","24/02/2021","25.14","301","45562.5","134.55","421.52","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/335404/1-glen-elgin-2013-sherry-butt-814806-cask-storage-coleburn",TRUE,"08/03/2021","Glen Elgin 2013 Sherry Butt","Glen Elgin","Speyside","62.01","Operational","Butt","Great Britain Pound (£)","437","270.98","01/01/2013",NA,"Sherry","01/02/2021","8.18","624.29","19125","27.23","70.58","Scotland","WhiskyAuctioneer"
