"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_per_age","inf_adj_hammer_price_per_age"
"2023-08-27","Croftengea (Loch Lomond)","Highlands","Scotland","54",103.68,"192",NA,"Hogshead",NA,NA,14.65,274.29,32,21,4,9827.68,35.83,94.79,6.47,670.83
"2025-11-23","Dailuaine","Speyside","Scotland","63.5",162.37,"255.7","Operational","Hogshead",NA,NA,1.89,365.29,78,12,1,2025,5.54,12.47,6.6,1071.43
"2025-04-27","Dalmunach","Speyside","Scotland","65.5",109.32,"166.9","Operational","Barrel",NA,NA,10.32,238.43,134,67,41,3785.27,15.88,34.63,3.36,366.79
"2022-10-30","Deanston","Highlands","Scotland","55.8",74.21,"133","Operational","Hogshead",NA,NA,30.83,190,95,32,9,36201.47,190.53,487.82,15.82,1174.23
"2019-05-26","Fettercairn","Highlands","Scotland","51",63.75,"125","Operational","Hogshead",NA,NA,30.4,178.57,25,8,2,31158.02,174.49,488.75,16.08,1024.93
"2020-03-22","Fettercairn","Highlands","Scotland","52.1",67.73,"130","Operational","Hogshead",NA,NA,31.22,185.71,20,12,7,30828.73,166,455.17,14.58,987.47
"2020-05-24","Girvan","Lowlands","Scotland","60",51,"85","Operational","Barrel",NA,"Bourbon",14.39,121.43,29,18,13,2217.86,18.26,43.49,3.02,154.13
"2022-03-27","Glasgow","Lowlands","Scotland","63.4",114.68,"180.89","Operational","Barrel",NA,"Bourbon",4.23,258.41,92,59,24,3633.43,14.06,31.68,7.49,858.97
"2022-03-27","Glasgow","Lowlands","Scotland","63",112.5,"178.57","Operational","Barrel",NA,"Bourbon",4.23,255.1,92,59,24,2978.22,11.67,26.47,6.26,704.07
"2022-02-27","Glasgow","Lowlands","Scotland","62.8",92.79,"147.75","Operational","Barrel","First Fill","Virgin Oak",7.16,211.07,85,59,25,4397.02,20.83,47.39,6.62,614.11
"2022-03-27","Glasgow","Lowlands","Scotland","62.9",83.25,"132.35","Operational","Barrel","First Fill","Virgin Oak",7.23,189.07,92,59,24,4169.51,22.05,50.08,6.93,576.7
"2021-02-21","Glen Garioch","Highlands","Scotland","57.3",34.26,"59.79","Operational","Octave","First Fill","Sherry",10.14,85.41,90,65,39,2717.12,31.81,79.31,7.82,267.96
"2025-11-23","Glen Moray","Speyside","Scotland","57.74",97.6,"169.03","Operational","Barrel",NA,NA,10.89,241.47,78,12,1,2300,9.52,23.57,2.16,211.2
"2024-03-24","Glen Moray","Speyside","Scotland","60.5",72.42,"119.7","Operational","Hogshead","Second Fill",NA,17.23,171,81,55,42,7971.43,46.62,110.07,6.39,462.65
"2025-06-22","Glen Moray","Speyside","Scotland","60.2",69.41,"115.3","Operational","Hogshead","Second Fill",NA,18.47,164.71,131,61,22,2812.1,17.07,40.51,2.19,152.25
"2021-02-21","Glen Ord","Highlands","Scotland","59.7",70.58,"118.22","Operational","Quarter Cask","First Fill","Sherry",8.14,168.89,90,65,39,4539.18,26.88,64.31,7.9,557.64
"2020-08-23","Glenfarclas","Speyside","Scotland","63",113.4,"180","Operational","Hogshead",NA,NA,9.64,257.14,34,25,12,18111.88,70.44,159.72,16.57,1878.83
